ID,SubCategory,NAME,DESCRIPTION,PRICE,CategoryID
1,Tables,Double Barrel Descansa Pub,Descansa finish top on 2 barrels. 3' x 6' x 38'',115,2
2,Tables,Double Barrel Descansa Pub,Descansa finish top on 2 barrels. 4' x 8' x 38'',115,2
3,Tables,Descansa Table,Descansa finish top. 3' x 6' x 30'',105,2
4,Tables,Descansa Table,Descansa finish top. 4' x 8' x 30'',125,2
5,Tables,Descansa Highboy Table,Descansa finish top. 3' x 6' x 42'',105,2
6,Tables,Descansa Highboy Table,Descansa finish top. 4' x 8' x 42'',125,2
7,Tables,Single Barrel Highboy Round,"Wooden hard top. 44""W x 44""L x 38"" H",75,2
8,Tables,Carmel Highboy Table,"Faux distressed wood top. 2' x 4' x 42""",75,2
9,Tables,Carmel Highboy Table,"Faux distressed wood top. 2' x 6' x 42""",95,2
